;feature;AUC;best_th_sensitivity;best_th_specificity;best_th_acc
38;DTF_alpha_AWAKE_DA;0.6393939393939395;0.5;0.8666666666666667;0.6486486486486487
39;DTF_alpha_AWAKE_AVGCC;0.5787878787878787;0.6363636363636364;0.5333333333333333;0.5945945945945946
40;DTF_beta_AWAKE_GE;0.5515151515151515;0.5;0.6666666666666667;0.5675675675675675
41;DTF_beta_AWAKE_GRC;0.6151515151515151;0.7727272727272727;0.4666666666666667;0.6486486486486487
42;DTF_beta_AWAKE_MOD;0.606060606060606;0.6818181818181818;0.6666666666666667;0.6756756756756757
43;DTF_beta_AWAKE_DA;0.6030303030303029;0.45454545454545453;1.0;0.6756756756756757
44;DTF_beta_AWAKE_AVGCC;0.5666666666666667;0.6818181818181818;0.5333333333333333;0.6216216216216216
45;DTF_broadband_AWAKE_GE;0.5606060606060606;0.5909090909090909;0.5333333333333333;0.5675675675675675
46;DTF_broadband_AWAKE_GRC;0.6090909090909091;0.5909090909090909;0.6;0.5945945945945946
47;DTF_broadband_AWAKE_MOD;0.5757575757575757;0.5;0.7333333333333334;0.5945945945945946
48;DTF_broadband_AWAKE_DA;0.606060606060606;0.5;0.8;0.6216216216216216
49;DTF_broadband_AWAKE_AVGCC;0.5787878787878787;0.6818181818181818;0.5333333333333333;0.6216216216216216
50;PDC_delta_SLEEP_GE;0.6090909090909091;0.5454545454545454;0.7333333333333334;0.6216216216216216
51;PDC_delta_SLEEP_GRC;0.5121212121212122;0.6363636363636364;0.4666666666666667;0.5675675675675675
52;PDC_delta_SLEEP_MOD;0.5151515151515151;0.7727272727272727;0.33333333333333337;0.5945945945945946
53;PDC_delta_SLEEP_DA;0.5878787878787879;0.5909090909090909;0.6666666666666667;0.6216216216216216
54;PDC_delta_SLEEP_AVGCC;0.7545454545454545;0.8181818181818182;0.6666666666666667;0.7567567567567568
55;PDC_theta_SLEEP_GE;0.4636363636363636;0.4090909090909091;0.6;0.4864864864864865
56;PDC_theta_SLEEP_GRC;0.5606060606060607;0.7727272727272727;0.4666666666666667;0.6486486486486487
57;PDC_theta_SLEEP_MOD;0.5696969696969697;0.45454545454545453;0.8;0.5945945945945946
58;PDC_theta_SLEEP_DA;0.6060606060606061;0.5454545454545454;0.8;0.6486486486486487
59;PDC_theta_SLEEP_AVGCC;0.5484848484848486;0.5;0.8;0.6216216216216216
60;PDC_alpha_SLEEP_GE;0.6272727272727272;0.5909090909090909;0.6666666666666667;0.6216216216216216
61;PDC_alpha_SLEEP_GRC;0.49393939393939396;0.45454545454545453;0.6666666666666667;0.5405405405405406
62;PDC_alpha_SLEEP_MOD;0.5333333333333333;0.45454545454545453;0.7333333333333334;0.5675675675675675
63;PDC_alpha_SLEEP_DA;0.6303030303030301;0.5454545454545454;0.7333333333333334;0.6216216216216216
64;PDC_alpha_SLEEP_AVGCC;0.6060606060606061;0.45454545454545453;0.9333333333333333;0.6486486486486487
65;PDC_beta_SLEEP_GE;0.7333333333333333;0.7727272727272727;0.7333333333333334;0.7567567567567568
66;PDC_beta_SLEEP_GRC;0.5606060606060607;0.7727272727272727;0.5333333333333333;0.6756756756756757
67;PDC_beta_SLEEP_MOD;0.5636363636363635;0.5;0.7333333333333334;0.5945945945945946
68;PDC_beta_SLEEP_DA;0.6090909090909091;0.6363636363636364;0.6;0.6216216216216216
