;feature;AUC;best_th_sensitivity;best_th_specificity;best_th_acc
20;PDC_theta_SLEEP_DA;0.6060606060606061;0.5454545454545454;0.8;0.6486486486486487
21;PDC_beta_AWAKE_MOD;0.6060606060606061;0.6363636363636364;0.6;0.6216216216216216
22;DTF_delta_SLEEP_MOD;0.6060606060606061;0.8181818181818182;0.5333333333333333;0.7027027027027027
23;PDC_alpha_SLEEP_AVGCC;0.6060606060606061;0.45454545454545453;0.9333333333333333;0.6486486486486487
24;DTF_broadband_AWAKE_DA;0.606060606060606;0.5;0.8;0.6216216216216216
25;DTF_beta_AWAKE_MOD;0.606060606060606;0.6818181818181818;0.6666666666666667;0.6756756756756757
26;DTF_beta_AWAKE_DA;0.6030303030303029;0.45454545454545453;1.0;0.6756756756756757
27;DTF_delta_AWAKE_MOD;0.6000000000000001;0.6818181818181818;0.7333333333333334;0.7027027027027027
28;DTF_delta_SLEEP_AVGCC;0.6;0.5;0.7333333333333334;0.5945945945945946
29;DTF_beta_SLEEP_GRC;0.5969696969696969;0.5909090909090909;0.6666666666666667;0.6216216216216216
30;DTF_beta_SLEEP_MOD;0.593939393939394;0.6818181818181818;0.5333333333333333;0.6216216216216216
31;DTF_alpha_SLEEP_AVGCC;0.5878787878787879;0.6818181818181818;0.6;0.6486486486486487
32;PDC_delta_SLEEP_DA;0.5878787878787879;0.5909090909090909;0.6666666666666667;0.6216216216216216
33;DTF_delta_AWAKE_GRC;0.5818181818181819;0.5454545454545454;0.6666666666666667;0.5945945945945946
34;DTF_theta_SLEEP_MOD;0.5818181818181819;0.9090909090909091;0.4666666666666667;0.7297297297297297
35;DTF_alpha_AWAKE_GRC;0.5818181818181818;0.5454545454545454;0.6666666666666667;0.5945945945945946
36;DTF_delta_AWAKE_DA;0.5787878787878787;0.45454545454545453;0.7333333333333334;0.5675675675675675
37;DTF_alpha_AWAKE_AVGCC;0.5787878787878787;0.6363636363636364;0.5333333333333333;0.5945945945945946
38;DTF_broadband_AWAKE_AVGCC;0.5787878787878787;0.6818181818181818;0.5333333333333333;0.6216216216216216
39;DTF_broadband_AWAKE_MOD;0.5757575757575757;0.5;0.7333333333333334;0.5945945945945946
40;DTF_theta_AWAKE_AVGCC;0.5727272727272729;0.45454545454545453;0.7333333333333334;0.5675675675675675
41;PDC_theta_SLEEP_MOD;0.5696969696969697;0.45454545454545453;0.8;0.5945945945945946
42;DTF_alpha_SLEEP_DA;0.5666666666666668;0.6363636363636364;0.5333333333333333;0.5945945945945946
43;PDC_beta_AWAKE_GRC;0.5666666666666667;0.7272727272727273;0.5333333333333333;0.6486486486486487
44;DTF_beta_AWAKE_AVGCC;0.5666666666666667;0.6818181818181818;0.5333333333333333;0.6216216216216216
45;PDC_beta_SLEEP_MOD;0.5636363636363635;0.5;0.7333333333333334;0.5945945945945946
46;PDC_beta_SLEEP_GRC;0.5606060606060607;0.7727272727272727;0.5333333333333333;0.6756756756756757
47;PDC_theta_SLEEP_GRC;0.5606060606060607;0.7727272727272727;0.4666666666666667;0.6486486486486487
48;DTF_broadband_AWAKE_GE;0.5606060606060606;0.5909090909090909;0.5333333333333333;0.5675675675675675
49;PDC_delta_AWAKE_DA;0.5545454545454546;0.7272727272727273;0.4666666666666667;0.6216216216216216
50;DTF_theta_SLEEP_GRC;0.5545454545454546;0.36363636363636365;0.8666666666666667;0.5675675675675675
51;DTF_theta_SLEEP_AVGCC;0.5545454545454546;0.6818181818181818;0.4666666666666667;0.5945945945945946
52;DTF_beta_AWAKE_GE;0.5515151515151515;0.5;0.6666666666666667;0.5675675675675675
53;DTF_beta_SLEEP_GE;0.5515151515151515;0.6363636363636364;0.5333333333333333;0.5945945945945946
54;PDC_theta_AWAKE_DA;0.5515151515151515;0.6363636363636364;0.5333333333333333;0.5945945945945946
55;DTF_alpha_AWAKE_GE;0.5515151515151514;0.6818181818181818;0.4666666666666667;0.5945945945945946
56;PDC_theta_SLEEP_AVGCC;0.5484848484848486;0.5;0.8;0.6216216216216216
57;DTF_delta_SLEEP_DA;0.5484848484848485;0.6818181818181818;0.4666666666666667;0.5945945945945946
58;PDC_alpha_AWAKE_DA;0.5484848484848485;0.6818181818181818;0.5333333333333333;0.6216216216216216
59;DTF_delta_SLEEP_GE;0.5454545454545455;0.7272727272727273;0.4666666666666667;0.6216216216216216
60;PDC_broadband_AWAKE_DA;0.5454545454545454;0.5454545454545454;0.7333333333333334;0.6216216216216216
61;DTF_broadband_SLEEP_GRC;0.5424242424242425;0.6818181818181818;0.4666666666666667;0.5945945945945946
62;PDC_theta_AWAKE_GE;0.5424242424242424;0.7272727272727273;0.4666666666666667;0.6216216216216216
63;DTF_broadband_SLEEP_MOD;0.5424242424242424;0.8181818181818182;0.4;0.6486486486486487
64;DTF_theta_AWAKE_DA;0.5424242424242424;0.45454545454545453;0.8;0.5945945945945946
65;DTF_alpha_SLEEP_MOD;0.5393939393939394;0.6818181818181818;0.5333333333333333;0.6216216216216216
66;DTF_broadband_SLEEP_GE;0.5393939393939394;0.8636363636363636;0.4;0.6756756756756757
67;PDC_beta_AWAKE_DA;0.5393939393939393;0.5;0.7333333333333334;0.5945945945945946
