;feature;AUC;best_th_sensitivity;best_th_specificity;best_th_acc
21;DTF_broadband_AWAKE_MOD;0.603030303030303;0.5909090909090909;0.7333333333333334;0.6486486486486487
22;PDC_beta_SLEEP_AVGCC;0.6000000000000001;0.5909090909090909;0.6666666666666667;0.6216216216216216
23;DTF_theta_AWAKE_MOD;0.6;0.6363636363636364;0.6666666666666667;0.6486486486486487
24;DTF_broadband_AWAKE_GRC;0.596969696969697;0.5909090909090909;0.6;0.5945945945945946
25;DTF_beta_AWAKE_MOD;0.5969696969696969;0.7272727272727273;0.5333333333333333;0.6486486486486487
26;DTF_theta_AWAKE_GRC;0.5969696969696969;0.7727272727272727;0.4666666666666667;0.6486486486486487
27;DTF_beta_SLEEP_GRC;0.5909090909090909;0.8181818181818182;0.4666666666666667;0.6756756756756757
28;DTF_alpha_SLEEP_MOD;0.5909090909090909;0.6363636363636364;0.6;0.6216216216216216
29;PDC_theta_AWAKE_GRC;0.5878787878787878;0.5;0.7333333333333334;0.5945945945945946
30;DTF_broadband_SLEEP_MOD;0.5878787878787878;0.5909090909090909;0.6;0.5945945945945946
31;DTF_delta_AWAKE_GRC;0.584848484848485;0.5909090909090909;0.5333333333333333;0.5675675675675675
32;DTF_beta_SLEEP_AVGCC;0.5848484848484848;0.5454545454545454;0.6666666666666667;0.5945945945945946
33;DTF_beta_SLEEP_MOD;0.5818181818181818;0.5;0.7333333333333334;0.5945945945945946
34;PDC_alpha_AWAKE_MOD;0.5818181818181818;0.7272727272727273;0.5333333333333333;0.6486486486486487
35;DTF_beta_AWAKE_AVGCC;0.5818181818181818;0.7727272727272727;0.5333333333333333;0.6756756756756757
36;DTF_broadband_SLEEP_GRC;0.5787878787878789;0.7272727272727273;0.5333333333333333;0.6486486486486487
37;DTF_broadband_SLEEP_AVGCC;0.5787878787878789;0.8181818181818182;0.4666666666666667;0.6756756756756757
38;DTF_beta_AWAKE_DA;0.5757575757575758;0.5454545454545454;0.6;0.5675675675675675
39;DTF_delta_AWAKE_AVGCC;0.5727272727272728;0.8181818181818182;0.4;0.6486486486486487
40;PDC_broadband_SLEEP_GRC;0.5727272727272728;0.8636363636363636;0.4;0.6756756756756757
41;PDC_broadband_AWAKE_GRC;0.5727272727272726;0.5;0.8;0.6216216216216216
42;DTF_theta_SLEEP_GE;0.5727272727272726;0.5909090909090909;0.6666666666666667;0.6216216216216216
43;DTF_beta_SLEEP_GE;0.5696969696969698;0.8636363636363636;0.4;0.6756756756756757
44;DTF_delta_AWAKE_GE;0.5696969696969696;0.6363636363636364;0.6;0.6216216216216216
45;DTF_beta_AWAKE_GE;0.5666666666666667;0.6363636363636364;0.6666666666666667;0.6486486486486487
46;DTF_broadband_AWAKE_AVGCC;0.5666666666666667;0.7727272727272727;0.4666666666666667;0.6486486486486487
47;DTF_alpha_AWAKE_AVGCC;0.5636363636363637;0.7272727272727273;0.5333333333333333;0.6486486486486487
48;DTF_delta_SLEEP_AVGCC;0.5636363636363636;0.6363636363636364;0.4666666666666667;0.5675675675675675
49;PDC_alpha_SLEEP_GRC;0.5636363636363636;0.7272727272727273;0.4666666666666667;0.6216216216216216
50;PDC_beta_AWAKE_GRC;0.5606060606060607;0.5;0.7333333333333334;0.5945945945945946
51;PDC_delta_AWAKE_GRC;0.5606060606060606;0.5454545454545454;0.7333333333333334;0.6216216216216216
52;DTF_delta_SLEEP_GRC;0.5575757575757576;0.5909090909090909;0.5333333333333333;0.5675675675675675
